address,zipCode,city,state,price,bed,bath,sqft,pricePerSf,lotArea,lotAreaType,zillowUrl,latitude,longitude,homeType,imageUrl
"2322 Wyandotte Dr, Oakville, ON L6L 2T6",L6L2T6,Oakville,ON,1399000.0,3.0,3.0,,,6720.7038,sqft,https://zillow.com/homedetails/2322-Wyandotte-Dr-Oakville-ON-L6L-2T6/2063719027_zpid/,43.407433,-79.72338,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/055bfab12667a48cc5cf920c59a6d1ad-p_e.jpg
"3133 Hiram Ter, Oakville, ON L6M 0P7",L6M0P7,Oakville,ON,1699000.0,4.0,3.0,,,3611.6604,sqft,https://zillow.com/homedetails/3133-Hiram-Ter-Oakville-ON-L6M-0P7/2065744451_zpid/,43.4694,-79.74702,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b1f4fadaa854966929ce167c00622891-p_e.jpg
"19 Hays Blvd #27, Oakville, ON L6H 0H8",L6H0H8,Oakville,ON,649999.0,2.0,2.0,,,,,https://zillow.com/homedetails/19-Hays-Blvd-27-Oakville-ON-L6H-0H8/2057143319_zpid/,43.478466,-79.72724,TOWNHOUSE,https://photos.zillowstatic.com/fp/de0ccb8d10df149ffc573003bc9782da-p_e.jpg
"2300 Upper Middle Rd W #223, Oakville, ON L6M 0T4",L6M0T4,Oakville,ON,699000.0,2.0,1.0,,,,,https://zillow.com/homedetails/2300-Upper-Middle-Rd-W-223-Oakville-ON-L6M-0T4/446858645_zpid/,43.427616,-79.75269,APARTMENT,https://photos.zillowstatic.com/fp/b7ea44564817f2fa018fab4ee756570a-p_e.jpg
"2207 Elmhurst Ave, Oakville, ON L6J 5G4",L6J5G4,Oakville,ON,1899900.0,4.0,2.0,,,8769.9,sqft,https://zillow.com/homedetails/2207-Elmhurst-Ave-Oakville-ON-L6J-5G4/449632581_zpid/,43.47737,-79.64239,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cd4fd3ae0d3a9faecf6ad35dd7d7b5f2-p_e.jpg
"2244 Marine Dr #2244, Oakville, ON L6L 1C1",L6L1C1,Oakville,ON,1059000.0,4.0,2.0,,,,,https://zillow.com/homedetails/2244-Marine-Dr-2244-Oakville-ON-L6L-1C1/441142388_zpid/,43.398163,-79.704056,TOWNHOUSE,https://photos.zillowstatic.com/fp/fda73dee9dc6c18dce77432323825738-p_e.jpg
"1532 6th Line #14, Oakville, ON L6H 2P2",L6H2P2,Oakville,ON,849000.0,3.0,3.0,,,,,https://zillow.com/homedetails/1532-6th-Line-14-Oakville-ON-L6H-2P2/449628963_zpid/,43.465454,-79.711494,TOWNHOUSE,https://photos.zillowstatic.com/fp/b11d58d7995e7cd5ab04be2dd6a3e96a-p_e.jpg
"2021 6th Line #20, Oakville, ON L6H 4S2",L6H4S2,Oakville,ON,898900.0,3.0,3.0,,,,,https://zillow.com/homedetails/2021-6th-Line-20-Oakville-ON-L6H-4S2/2055265110_zpid/,43.46721,-79.71266,TOWNHOUSE,https://photos.zillowstatic.com/fp/339a8539b8ee3fd4963850182950dfc0-p_e.jpg
"2101 Salmon Rd, Oakville, ON L6L 1M2",L6L1M2,Oakville,ON,1750000.0,5.0,4.0,,,0.298989898989899,acres,https://zillow.com/homedetails/2101-Salmon-Rd-Oakville-ON-L6L-1M2/449649333_zpid/,43.403427,-79.70357,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b6b4b59ff58b098f379072b3459c77a4-p_e.jpg
"244 Gatwick Dr, Oakville, ON L6H 7K3",L6H7K3,Oakville,ON,1239900.0,3.0,3.0,,,2109.1212,sqft,https://zillow.com/homedetails/244-Gatwick-Dr-Oakville-ON-L6H-7K3/449631048_zpid/,43.479286,-79.71379,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ff3ab20d6b3e57d80a5db5d07e0b108f-p_e.jpg
"1521 Craigleith Rd, Oakville, ON L6H 7W3",L6H7W3,Oakville,ON,2669900.0,4.0,4.0,,,6291.53,sqft,https://zillow.com/homedetails/1521-Craigleith-Rd-Oakville-ON-L6H-7W3/449630003_zpid/,43.50302,-79.698456,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/125728a2b6a50c2cab5ac931312a4aa4-p_e.jpg
"35 Chester St, Oakville, ON L6H 6J9",L6H6J9,Oakville,ON,1197000.0,3.0,3.0,,,1777.9872,sqft,https://zillow.com/homedetails/35-Chester-St-Oakville-ON-L6H-6J9/449629419_zpid/,43.47249,-79.7222,TOWNHOUSE,https://photos.zillowstatic.com/fp/13810d2ca6d3f32f12fe36dc6745eb86-p_e.jpg
"2459 Belt Ln, Oakville, ON L6M 5L9",L6M5L9,Oakville,ON,1199000.0,3.0,3.0,,,930.09,sqft,https://zillow.com/homedetails/2459-Belt-Ln-Oakville-ON-L6M-5L9/449629017_zpid/,43.418022,-79.75014,TOWNHOUSE,https://photos.zillowstatic.com/fp/fc4f3e12c379787cb6cad3537831cfb1-p_e.jpg
"266 Harold Dent Trl, Oakville, ON L6M 1S1",L6M1S1,Oakville,ON,1799900.0,3.0,4.0,,,3196.0,sqft,https://zillow.com/homedetails/266-Harold-Dent-Trl-Oakville-ON-L6M-1S1/2079828042_zpid/,43.477886,-79.74516,TOWNHOUSE,https://photos.zillowstatic.com/fp/f97823314299381e3e1ac540a03e7e64-p_e.jpg
"10 Timber Ln, Oakville, ON L6L 2Z3",L6L2Z3,Oakville,ON,3895000.0,4.0,5.0,3083.0,1263.38,4324.0,sqft,https://zillow.com/homedetails/10-Timber-Ln-Oakville-ON-L6L-2Z3/2055459066_zpid/,43.38693,-79.713,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/44139805452989572e853eb3b678ee15-p_e.jpg
"65 Masterman Cres, Oakville, ON L6M 0W3",L6M0W3,Oakville,ON,1589990.0,4.0,4.0,,,3061.1196,sqft,https://zillow.com/homedetails/65-Masterman-Cres-Oakville-ON-L6M-0W3/448710175_zpid/,43.479465,-79.73559,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5309f15fe4ceb10d82516a3472452835-p_e.jpg
"489 Lakeshore Rd E, Oakville, ON L6J 1K4",L6J1K4,Oakville,ON,24980000.0,5.0,8.0,,,1.005,acres,https://zillow.com/homedetails/489-Lakeshore-Rd-E-Oakville-ON-L6J-1K4/2076624930_zpid/,43.452705,-79.66105,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/35e3fb59e668482614d0f1c9df4b6c5e-p_e.jpg
"2020 Joshuas Creek Dr, Oakville, ON L6H 6E5",L6H6E5,Oakville,ON,2199000.0,4.0,4.0,,,9877.8096,sqft,https://zillow.com/homedetails/2020-Joshuas-Creek-Dr-Oakville-ON-L6H-6E5/2063757469_zpid/,43.492645,-79.68381,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c4f1a95db53747a310180d5fe60f43da-p_e.jpg
"3302 Rattlesnake Path, Oakville, ON L6M 5K4",L6M5K4,Oakville,ON,2900000.0,5.0,5.0,,,4500.0,sqft,https://zillow.com/homedetails/3302-Rattlesnake-Path-Oakville-ON-L6M-5K4/449637882_zpid/,43.47729,-79.748566,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4e5c8b3df1820e4cf9b05235f9b13f10-p_e.jpg
"2320 Baronwood Dr, Oakville, ON L6M 4Z5",L6M4Z5,Oakville,ON,1649000.0,4.0,4.0,,,3244.4,sqft,https://zillow.com/homedetails/2320-Baronwood-Dr-Oakville-ON-L6M-4Z5/447577448_zpid/,43.43117,-79.76768,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/30ad9a3495f7431f53233907ee178d25-p_e.jpg
"425 Threshing Mill Blvd, Oakville, ON L6H 0T4",L6H0T4,Oakville,ON,2120000.0,6.0,4.0,,,4692.3948,sqft,https://zillow.com/homedetails/425-Threshing-Mill-Blvd-Oakville-ON-L6H-0T4/346973641_zpid/,43.495106,-79.72196,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/dea1213f3e145949d6b778ab1033d39f-p_e.jpg
"2488 Lakeshore Rd E, Oakville, ON L6J 6G2",L6J6G2,Oakville,ON,5595000.0,5.0,8.0,3720.0,1504.03,9020.0,sqft,https://zillow.com/homedetails/2488-Lakeshore-Rd-E-Oakville-ON-L6J-6G2/448968918_zpid/,43.48138,-79.62928,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/997a26500237f360730b174722205fac-p_e.jpg
"1315 Pinegrove Rd, Oakville, ON L6L 2X2",L6L2X2,Oakville,ON,1350000.0,6.0,2.0,,,0.18,sqft,https://zillow.com/homedetails/1315-Pinegrove-Rd-Oakville-ON-L6L-2X2/2058029175_zpid/,43.423637,-79.70968,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f818c6c7ad9706e11222c0477222c674-p_e.jpg
"2408 Edward Leaver Trl, Oakville, ON L6M 5M2",L6M5M2,Oakville,ON,1499000.0,5.0,6.0,,,3504.9364,sqft,https://zillow.com/homedetails/2408-Edward-Leaver-Trl-Oakville-ON-L6M-5M2/447461282_zpid/,43.419083,-79.74701,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/815a1e51a75ac887e1836d760e7a0736-p_e.jpg
"2592 Andover Rd, Oakville, ON L6H 6C4",L6H6C4,Oakville,ON,1515000.0,5.0,4.0,,,4391.7235,sqft,https://zillow.com/homedetails/2592-Andover-Rd-Oakville-ON-L6H-6C4/449633052_zpid/,43.476982,-79.72925,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/569b25ddd19cdbeacfd310b57401916e-p_e.jpg
"134 Abbey Ct, Oakville, ON L6J 4L1",L6J4L1,Oakville,ON,3268000.0,5.0,4.0,,,0.333,sqft,https://zillow.com/homedetails/134-Abbey-Ct-Oakville-ON-L6J-4L1/2060427648_zpid/,43.463127,-79.65189,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2f33790d854c438c7239de07f7ff17a7-p_e.jpg
"1137 Manor Rd, Oakville, ON L6M 1G3",L6M1G3,Oakville,ON,2038000.0,5.0,4.0,2713.0,751.2,5587.425,sqft,https://zillow.com/homedetails/1137-Manor-Rd-Oakville-ON-L6M-1G3/449642287_zpid/,43.438236,-79.71682,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/41e3410b186bbcca9044157511c8866f-p_e.jpg
"1029 Oak Meadow Rd, Oakville, ON L6M 1J6",L6M1J6,Oakville,ON,1925000.0,4.0,3.0,2586.0,744.39,7272.1462,sqft,https://zillow.com/homedetails/1029-Oak-Meadow-Rd-Oakville-ON-L6M-1J6/448666104_zpid/,43.44519,-79.72083,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ecae82d325859de25e87ce29855b8589-p_e.jpg
"27 Park Ave, Oakville, ON L6J 3X9",L6J3X9,Oakville,ON,10999998.0,5.0,8.0,,,0.4921636822773186,acres,https://zillow.com/homedetails/27-Park-Ave-Oakville-ON-L6J-3X9/2061158086_zpid/,43.45076,-79.65846,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0ce2ca467a73887cadf823b086ad45d9-p_e.jpg
"3183 Stornoway Cir, Oakville, ON L6M 5H7",L6M5H7,Oakville,ON,828000.0,3.0,3.0,,,1133.3811,sqft,https://zillow.com/homedetails/3183-Stornoway-Cir-Oakville-ON-L6M-5H7/2063807353_zpid/,43.4328,-79.777,TOWNHOUSE,https://photos.zillowstatic.com/fp/7b1ae62ba8fd3db657366ad707df4da1-p_e.jpg
"2346 Rebecca St, Oakville, ON L6L 2A9",L6L2A9,Oakville,ON,2929000.0,5.0,5.0,,,0.17,sqft,https://zillow.com/homedetails/2346-Rebecca-St-Oakville-ON-L6L-2A9/2075314739_zpid/,43.401394,-79.71595,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e10b6df1658a93b438442f87c77261e7-p_e.jpg
"2165 Dunedin Rd, Oakville, ON L6J 5V2",L6J5V2,Oakville,ON,1789000.0,5.0,2.0,,,6612.0,sqft,https://zillow.com/homedetails/2165-Dunedin-Rd-Oakville-ON-L6J-5V2/448471942_zpid/,43.482765,-79.65203,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f4058efdb81d0cfa842f2688bb4ccb22-p_e.jpg
"1008 Falgarwood Dr #1, Oakville, ON L6H 2P5",L6H2P5,Oakville,ON,568888.0,3.0,2.0,,,,,https://zillow.com/homedetails/1008-Falgarwood-Dr-1-Oakville-ON-L6H-2P5/2063779142_zpid/,43.47219,-79.68305,TOWNHOUSE,https://photos.zillowstatic.com/fp/42564f5ce4519c28b1e587b81f44938c-p_e.jpg
"421 Chartwell Rd, Oakville, ON L6J 4A4",L6J4A4,Oakville,ON,7249000.0,6.0,8.0,5196.0,1395.11,0.33321854912764,acres,https://zillow.com/homedetails/421-Chartwell-Rd-Oakville-ON-L6J-4A4/2069736375_zpid/,43.462154,-79.66967,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b8f04f0869bcce12cea6e5309b24b663-p_e.jpg
"267 Eastcourt Rd, Oakville, ON L6J 4Y5",L6J4Y5,Oakville,ON,5750000.0,5.0,6.0,4283.0,1342.52,0.3429752066115702,acres,https://zillow.com/homedetails/267-Eastcourt-Rd-Oakville-ON-L6J-4Y5/448710994_zpid/,43.475487,-79.64598,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2238b41e3d3e795b8c2015eafdd4db64-p_e.jpg
"3286 Shelburne Pl, Oakville, ON L6L 5V9",L6L5V9,Oakville,ON,3998000.0,5.0,4.0,,,6376.584,sqft,https://zillow.com/homedetails/3286-Shelburne-Pl-Oakville-ON-L6L-5V9/2052920966_zpid/,43.380642,-79.71605,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4d41cf4923fbba967c5a8bda020a16d4-p_e.jpg
"1305 Ashwood Ter, Oakville, ON L6M 4A7",L6M4A7,Oakville,ON,1749900.0,4.0,5.0,,,4257.5076,sqft,https://zillow.com/homedetails/1305-Ashwood-Ter-Oakville-ON-L6M-4A7/449574377_zpid/,43.451893,-79.75013,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e37795603e03e58e9c456a8ec8ac35f7-p_e.jpg
"15 Chartwell Rd, Oakville, ON L6J 3Z3",L6J3Z3,Oakville,ON,12999999.0,5.0,7.0,,,0.5087894857667584,acres,https://zillow.com/homedetails/15-Chartwell-Rd-Oakville-ON-L6J-3Z3/352380160_zpid/,43.452168,-79.656,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/90696fa14ba9ae10792ca82d6a5b0599-p_e.jpg
"1031 Lakeshore Rd W, Oakville, ON L6L 1E7",L6L1E7,Oakville,ON,5190000.0,5.0,7.0,,,0.3925619834710744,acres,https://zillow.com/homedetails/1031-Lakeshore-Rd-W-Oakville-ON-L6L-1E7/2077038619_zpid/,43.42332,-79.68973,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fa6cc6505e535ba115cbff117dc7d2c7-p_e.jpg
"3101 Portree Cres, Oakville, ON L6M 5C4",L6M5C4,Oakville,ON,1499888.0,4.0,3.0,,,4574.2554,sqft,https://zillow.com/homedetails/3101-Portree-Cres-Oakville-ON-L6M-5C4/2067581693_zpid/,43.429207,-79.77103,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8322b92f21edfb6a2c766579a794975a-p_e.jpg
"168 Oliver Pl, Oakville, ON L6H 1K8",L6H1K8,Oakville,ON,7498000.0,5.0,7.0,,,8295.612,sqft,https://zillow.com/homedetails/168-Oliver-Pl-Oakville-ON-L6H-1K8/2063726712_zpid/,43.459713,-79.71387,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5dbf8d3457a0f1ecc88b8e36d03e0b9b-p_e.jpg
"480 Scarsdale Cres, Oakville, ON L6L 3W7",L6L3W7,Oakville,ON,3198000.0,5.0,5.0,,,8202.0,sqft,https://zillow.com/homedetails/480-Scarsdale-Cres-Oakville-ON-L6L-3W7/2058451021_zpid/,43.412304,-79.71548,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/52bb0fd3311431cd1779ba6fb64e17f8-p_e.jpg
"2338 Hyacinth Cres, Oakville, ON L6M 5M8",L6M5M8,Oakville,ON,3649900.0,5.0,5.0,,,0.2773963865932047,acres,https://zillow.com/homedetails/2338-Hyacinth-Cres-Oakville-ON-L6M-5M8/447734295_zpid/,43.42176,-79.74621,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c010e95de33e3e3028e0e9e1a79295e6-p_e.jpg
"3313 George Savage Ave, Oakville, ON L6M 5K5",L6M5K5,Oakville,ON,3269000.0,5.0,6.0,5219.0,626.37,5498.7973,sqft,https://zillow.com/homedetails/3313-George-Savage-Ave-Oakville-ON-L6M-5K5/449322093_zpid/,43.47668,-79.74968,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c16dec0882132011807b750605b39c9e-p_e.jpg
"416 Trafalgar Rd, Oakville, ON L6J 3H7",L6J3H7,Oakville,ON,3275000.0,4.0,4.0,,,0.340218489439853,acres,https://zillow.com/homedetails/416-Trafalgar-Rd-Oakville-ON-L6J-3H7/2070802470_zpid/,43.45345,-79.67891,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9fc39c01636fcc010ab8ed61730ad89b-p_e.jpg
"2067 Marine Dr #14, Oakville, ON L6L 1B8",L6L1B8,Oakville,ON,749900.0,3.0,3.0,,,,,https://zillow.com/homedetails/2067-Marine-Dr-14-Oakville-ON-L6L-1B8/2063788700_zpid/,43.40221,-79.6993,TOWNHOUSE,https://photos.zillowstatic.com/fp/54911f0f58411cd9c448ba868ed016a9-p_e.jpg
"478 Southland Cres, Oakville, ON L6L 3N8",L6L3N8,Oakville,ON,1149999.0,4.0,3.0,,,7440.0,sqft,https://zillow.com/homedetails/478-Southland-Cres-Oakville-ON-L6L-3N8/2071899002_zpid/,43.409863,-79.71774,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e91978eed0fa6a72ad31cf5e492e871b-p_e.jpg
"1365 Bishopstoke Way, Oakville, ON L6J 7A7",L6J7A7,Oakville,ON,1649000.0,6.0,4.0,2366.0,696.96,5408.6711,sqft,https://zillow.com/homedetails/1365-Bishopstoke-Way-Oakville-ON-L6J-7A7/2058419652_zpid/,43.499622,-79.665665,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7e2c79b5b5c7ddae33b5782d1d5fb6c2-p_e.jpg
"2375 Bronte Rd #307, Oakville, ON L6M 4G4",L6M4G4,Oakville,ON,599900.0,2.0,2.0,,,,,https://zillow.com/homedetails/2375-Bronte-Rd-307-Oakville-ON-L6M-4G4/439606932_zpid/,43.412422,-79.7434,TOWNHOUSE,https://photos.zillowstatic.com/fp/e518453a744384f842e772d279c0da2a-p_e.jpg
"1238 Napier Cres, Oakville, ON L6H 2A4",L6H2A4,Oakville,ON,1049000.0,5.0,3.0,,,4375.0,sqft,https://zillow.com/homedetails/1238-Napier-Cres-Oakville-ON-L6H-2A4/449395925_zpid/,43.462532,-79.69762,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6b4d535f2c592a5b13f7375b7f240de5-p_e.jpg
"21 Ennisclare Dr E, Oakville, ON L6J 4N3",L6J4N3,Oakville,ON,18000000.0,5.0,7.0,,,0.71,sqft,https://zillow.com/homedetails/21-Ennisclare-Dr-E-Oakville-ON-L6J-4N3/2071857659_zpid/,43.462666,-79.64542,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fc9d6577af566e0b53f0e60793a9696d-p_e.jpg
"1522 Lancaster Dr #18, Oakville, ON L6H 2Z2",L6H2Z2,Oakville,ON,874900.0,3.0,2.0,1264.0,692.17,,,https://zillow.com/homedetails/1522-Lancaster-Dr-18-Oakville-ON-L6H-2Z2/449351797_zpid/,43.48133,-79.693085,TOWNHOUSE,https://photos.zillowstatic.com/fp/546b23591d3e4a33677651805d3bbdd4-p_e.jpg
"16 Ennisclare Dr W, Oakville, ON L6J 4N2",L6J4N2,Oakville,ON,12888000.0,5.0,6.0,,,0.2609345454545455,acres,https://zillow.com/homedetails/16-Ennisclare-Dr-W-Oakville-ON-L6J-4N2/2063753606_zpid/,43.46143,-79.64621,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f700bb104504f997618fc065d8e5f7ce-p_e.jpg
"536 Sandmere Pl, Oakville, ON L6L 4G4",L6L4G4,Oakville,ON,2980000.0,6.0,6.0,,,7820.0,sqft,https://zillow.com/homedetails/536-Sandmere-Pl-Oakville-ON-L6L-4G4/2078943335_zpid/,43.415462,-79.70781,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4007586c230166e8538ce8735e70a14f-p_e.jpg
"233 Lakewood Dr, Oakville, ON L6K 1B3",L6K1B3,Oakville,ON,7988000.0,5.0,4.0,6569.0,1216.01,0.3698850436179981,acres,https://zillow.com/homedetails/233-Lakewood-Dr-Oakville-ON-L6K-1B3/442136100_zpid/,43.434544,-79.675575,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e158ee1cb8981f683f7ab37bb97c8fc5-p_e.jpg
"26 Holyrood Ave, Oakville, ON L6K 2V3",L6K2V3,Oakville,ON,8299000.0,,,,,0.75,sqft,https://zillow.com/homedetails/26-Holyrood-Ave-Oakville-ON-L6K-2V3/2076625010_zpid/,43.43241,-79.678,LOT,https://photos.zillowstatic.com/fp/2dd1294386fe29668710b9cc82edbd51-p_e.jpg
"1125 Grandeur Cres, Oakville, ON L6H 4B2",L6H4B2,Oakville,ON,1489800.0,3.0,4.0,1765.0,844.08,5915.2929,sqft,https://zillow.com/homedetails/1125-Grandeur-Cres-Oakville-ON-L6H-4B2/366559308_zpid/,43.48597,-79.69872,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/89b462c01c034ddbcb5f911302b29e32-p_e.jpg
"144 Mayla Dr, Oakville, ON L6H 3T4",L6H3T4,Oakville,ON,1950000.0,5.0,4.0,,,5495.282,sqft,https://zillow.com/homedetails/144-Mayla-Dr-Oakville-ON-L6H-3T4/449398695_zpid/,43.463295,-79.719696,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/09d788522e456bb5b92a45ac36a6b673-p_e.jpg
"3191 George Savage Ave, Oakville, ON L6M 1L5",L6M1L5,Oakville,ON,1798888.0,4.0,4.0,,,3560.135,sqft,https://zillow.com/homedetails/3191-George-Savage-Ave-Oakville-ON-L6M-1L5/448260970_zpid/,43.473732,-79.74575,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d7d9b44b98e4dc2b6fd9646e80efe0a2-p_e.jpg
"2554 Dashwood Dr, Oakville, ON L6M 4C2",L6M4C2,Oakville,ON,1175000.0,3.0,3.0,1457.0,806.45,2732.5785,sqft,https://zillow.com/homedetails/2554-Dashwood-Dr-Oakville-ON-L6M-4C2/2067843145_zpid/,43.45167,-79.75446,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/81fa0573e13de361b412c755da37645d-p_e.jpg
"2189 Shorncliffe Blvd, Oakville, ON L6M 3X2",L6M3X2,Oakville,ON,1049999.0,3.0,3.0,1425.0,736.84,2825.9663,sqft,https://zillow.com/homedetails/2189-Shorncliffe-Blvd-Oakville-ON-L6M-3X2/2068394952_zpid/,43.437996,-79.75383,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fb3a6b27f472dcf8bf084e168a4b4da0-p_e.jpg
"1051 Pinewood Ave, Oakville, ON L6J 2A2",L6J2A2,Oakville,ON,6282000.0,6.0,6.0,,,0.4993112947658402,acres,https://zillow.com/homedetails/1051-Pinewood-Ave-Oakville-ON-L6J-2A2/448379454_zpid/,43.459873,-79.664536,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/49875a64b2f9b0f788b231501e27344d-p_e.jpg
"525 Dundas St E, Oakville, ON L6H 7L3",L6H7L3,Oakville,ON,1249999.0,4.0,4.0,2070.0,603.86,1483.8384,sqft,https://zillow.com/homedetails/525-Dundas-St-E-Oakville-ON-L6H-7L3/2068447952_zpid/,43.49321,-79.71475,TOWNHOUSE,https://photos.zillowstatic.com/fp/b9ed0f23ec07a779cf638debd1c8b621-p_e.jpg
